source_file,aggregate,auc_a,auc_b,ci_hi,ci_lo,diff,equivalent_0.014,excludes_0.014,n_boot_skipped,n_boot_used,n_items,n_units,se,unit
boot_frame_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,frame,0.8135,0.7939,-0.0079,-0.0325,-0.0196,False,True,0,2000,3000,3000,0.0063,frame
boot_frame_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,frame,0.8135,0.7939,0.0167,-0.0606,-0.0196,False,False,0,2000,3000,150,0.0199,video
boot_frame_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,frame,0.8135,0.7939,0.0096,-0.0534,-0.0196,False,True,0,2000,3000,29,0.0158,component
boot_frame_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,frame,0.8527,0.8426,0.002,-0.0212,-0.0101,False,True,0,2000,3000,3000,0.0059,frame
boot_frame_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,frame,0.8527,0.8426,0.0269,-0.0447,-0.0101,False,False,0,2000,3000,150,0.0184,video
boot_frame_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,frame,0.8527,0.8426,0.0261,-0.0414,-0.0101,False,False,0,2000,3000,28,0.0173,component
boot_frame_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,frame,0.7845,0.7987,0.029,-0.0008,0.0142,False,False,0,2000,3000,3000,0.0077,frame
boot_frame_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,frame,0.7845,0.7987,0.0647,-0.0315,0.0142,False,False,0,2000,3000,150,0.0252,video
boot_frame_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,frame,0.7845,0.7987,0.0637,-0.0284,0.0142,False,False,0,2000,3000,29,0.0239,component
boot_frame_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,frame,0.7838,0.8091,0.0395,0.0107,0.0253,False,False,0,2000,3000,3000,0.0074,frame
boot_frame_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,frame,0.7838,0.8091,0.0788,-0.0252,0.0253,False,False,0,2000,3000,150,0.0266,video
boot_frame_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,frame,0.7838,0.8091,0.0583,-0.0153,0.0253,False,False,0,2000,3000,28,0.0187,component
boot_frame_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,frame,0.772,0.7865,0.0282,0.0011,0.0145,False,False,0,2000,3000,3000,0.0068,frame
boot_frame_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,frame,0.772,0.7865,0.0592,-0.0263,0.0145,False,False,0,2000,3000,150,0.0215,video
boot_frame_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,frame,0.772,0.7865,0.0477,-0.0185,0.0145,False,False,0,2000,3000,28,0.0169,component
boot_video_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,video,0.8531,0.8228,0.0078,-0.0738,-0.0303,False,True,0,2000,150,150,0.021,video
boot_video_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,video,0.8531,0.8228,0.0039,-0.0702,-0.0303,False,True,0,2000,150,29,0.019,component
boot_video_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,video,0.8947,0.8739,0.0202,-0.0617,-0.0208,False,False,0,2000,150,150,0.0213,video
boot_video_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,video,0.8947,0.8739,0.0252,-0.0633,-0.0208,False,False,0,2000,150,28,0.0223,component
boot_video_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,video,0.8175,0.8378,0.084,-0.0392,0.0203,False,False,0,2000,150,150,0.0315,video
boot_video_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,video,0.8175,0.8378,0.0851,-0.0398,0.0203,False,False,0,2000,150,29,0.0321,component
boot_video_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,video,0.8072,0.8378,0.0882,-0.0272,0.0306,False,False,0,2000,150,150,0.0298,video
boot_video_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,video,0.8072,0.8378,0.0773,-0.0206,0.0306,False,False,0,2000,150,28,0.0241,component
boot_video_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,video,0.7981,0.8144,0.0655,-0.0299,0.0164,False,False,0,2000,150,150,0.0237,video
boot_video_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,video,0.7981,0.8144,0.0593,-0.0311,0.0164,False,False,0,2000,150,28,0.0233,component
