source_file,aggregate,unit,n_units,n_items,auc_a,auc_b,diff,ci_lo,ci_hi,se,excludes_margin,margin
boot_ffpp_c23_vid_xception_seed0_test_vs_ffpp_c23_vid_f3net_seed0_test.csv,video,video,150,150,0.9594,0.9533,-0.0061,-0.0259,0.0099,0.0089,True,0.014
boot_ffpp_c23_vid_xception_seed0_test_vs_ffpp_c23_vid_f3net_seed0_test.csv,video,identity,29,150,0.9594,0.9533,-0.0061,-0.0222,0.0083,0.0078,True,0.014
boot_ffpp_c23_vid_xception_seed1_test_vs_ffpp_c23_vid_f3net_seed1_test.csv,video,video,150,150,0.9339,0.9294,-0.0044,-0.0392,0.0249,0.0161,False,0.014
boot_ffpp_c23_vid_xception_seed1_test_vs_ffpp_c23_vid_f3net_seed1_test.csv,video,identity,28,150,0.9339,0.9294,-0.0044,-0.0348,0.0236,0.0151,False,0.014
boot_ffpp_c23_vid_xception_seed2_test_vs_ffpp_c23_vid_f3net_seed2_test.csv,video,video,150,150,0.9267,0.9378,0.0111,-0.015,0.0407,0.0142,False,0.014
boot_ffpp_c23_vid_xception_seed2_test_vs_ffpp_c23_vid_f3net_seed2_test.csv,video,identity,29,150,0.9267,0.9378,0.0111,-0.0142,0.0367,0.013,False,0.014
boot_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,frame,frame,3000,3000,0.8135,0.7939,-0.0196,-0.0325,-0.0079,0.0063,True,0.014
boot_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,frame,video,150,3000,0.8135,0.7939,-0.0196,-0.0606,0.0167,0.0199,False,0.014
boot_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,frame,identity,29,3000,0.8135,0.7939,-0.0196,-0.0534,0.0096,0.0158,True,0.014
boot_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,video,video,150,150,0.8947,0.8739,-0.0208,-0.0617,0.0202,0.0213,False,0.014
boot_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,video,identity,28,150,0.8947,0.8739,-0.0208,-0.0633,0.0252,0.0223,False,0.014
boot_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,video,video,150,150,0.8175,0.8378,0.0203,-0.0392,0.084,0.0315,False,0.014
boot_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,video,identity,29,150,0.8175,0.8378,0.0203,-0.0398,0.0851,0.0321,False,0.014
boot_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,video,video,150,150,0.8072,0.8378,0.0306,-0.0272,0.0882,0.0298,False,0.014
boot_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,video,identity,28,150,0.8072,0.8378,0.0306,-0.0206,0.0773,0.0241,False,0.014
boot_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,video,video,150,150,0.7981,0.8144,0.0164,-0.0299,0.0655,0.0237,False,0.014
boot_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,video,identity,28,150,0.7981,0.8144,0.0164,-0.0311,0.0593,0.0233,False,0.014
