k,seeds,diff,ci_lo,ci_hi,halfwidth,p_above_0.014,contains_margin
5,0;1;2;3;4,-0.0092,-0.0351,0.0183,0.0267,0.03975,True
4,0;1;2;3,-0.0087,-0.0408,0.0238,0.03228,0.06875,True
4,0;1;2;4,-0.0115,-0.044,0.0175,0.03077,0.04075,True
4,0;1;3;4,-0.0017,-0.0276,0.0255,0.02658,0.107,True
4,0;2;3;4,-0.0095,-0.0416,0.0178,0.02973,0.04425,True
4,1;2;3;4,-0.0144,-0.0427,0.0137,0.02821,0.02375,False
3,0;1;2,-0.0117,-0.0481,0.0279,0.03797,0.0795,True
3,0;1;3,0.0015,-0.0323,0.0358,0.03404,0.21275,True
3,0;1;4,-0.0023,-0.0317,0.0297,0.03066,0.123,True
3,0;2;3,-0.009,-0.0481,0.0283,0.03823,0.103,True
3,0;2;4,-0.0128,-0.0538,0.0228,0.0383,0.0645,True
3,0;3;4,0.0004,-0.0277,0.0306,0.02918,0.1395,True
3,1;2;3,-0.0156,-0.0494,0.0223,0.03587,0.05425,True
3,1;2;4,-0.0194,-0.0542,0.014,0.03409,0.0245,False
3,1;3;4,-0.0062,-0.0342,0.0234,0.02879,0.074,True
3,2;3;4,-0.0167,-0.0543,0.0153,0.03478,0.03,True
