compression,reference,model,seed,n_components,diff,ci_lo,ci_hi,halfwidth,excludes_zero
c23,spatial,freq_only,0,29,-0.1497,-0.2214,-0.0719,0.07475,True
c23,spatial,freq_only,1,28,-0.2133,-0.2812,-0.1381,0.07155,True
c23,spatial,freq_only,2,29,-0.2419,-0.3008,-0.1811,0.05985,True
c23,spatial,Xception,0,29,0.03,0.0036,0.0583,0.02735,True
c23,spatial,Xception,1,28,0.0172,-0.0359,0.066,0.05095,False
c23,spatial,Xception,2,29,-0.0153,-0.0499,0.02,0.03495,False
c23,spatial,Xception+FAD,0,29,0.0239,-0.0003,0.0513,0.0258,False
c23,spatial,Xception+FAD,1,28,0.0128,-0.0234,0.0461,0.03475,False
c23,spatial,Xception+FAD,2,29,-0.0042,-0.0461,0.0356,0.04085,False
c23,freq_only,Xception,0,29,0.1797,0.1205,0.2354,0.05745,True
c23,freq_only,Xception,1,28,0.2306,0.1589,0.2949,0.068,True
c23,freq_only,Xception,2,29,0.2267,0.1638,0.2848,0.0605,True
c23,freq_only,Xception+FAD,0,29,0.1736,0.1064,0.2331,0.06335,True
c23,freq_only,Xception+FAD,1,28,0.2261,0.1532,0.2908,0.0688,True
c23,freq_only,Xception+FAD,2,29,0.2378,0.1742,0.294,0.0599,True
c23,Xception,Xception+FAD,0,29,-0.0061,-0.0222,0.0083,0.01525,False
c23,Xception,Xception+FAD,1,28,-0.0044,-0.0348,0.0236,0.0292,False
c23,Xception,Xception+FAD,2,29,0.0111,-0.0142,0.0367,0.02545,False
