run,config,method,n,roc_auc,eer,accuracy
ffpp_baseline_spatial_seed0,baseline_spatial,Deepfakes,1187,0.9995,0.0101,0.9848
ffpp_baseline_spatial_seed0,baseline_spatial,Face2Face,1171,0.998,0.0239,0.9769
ffpp_baseline_spatial_seed0,baseline_spatial,FaceSwap,1210,0.9983,0.024,0.9777
ffpp_baseline_spatial_seed0,baseline_spatial,NeuralTextures,1178,0.9914,0.0433,0.9576
ffpp_xception_seed0,xception,Deepfakes,1187,0.9996,0.0084,0.9832
ffpp_xception_seed0,xception,Face2Face,1171,0.9979,0.0188,0.9752
ffpp_xception_seed0,xception,FaceSwap,1210,0.9992,0.0124,0.9818
ffpp_xception_seed0,xception,NeuralTextures,1178,0.9956,0.0331,0.9635
ffpp_f3net_seed0,f3net,Deepfakes,1187,0.9997,0.0084,0.9848
ffpp_f3net_seed0,f3net,Face2Face,1171,0.9981,0.0231,0.9787
ffpp_f3net_seed0,f3net,FaceSwap,1210,0.9993,0.0132,0.9835
ffpp_f3net_seed0,f3net,NeuralTextures,1178,0.996,0.0323,0.9669
ffpp_full_seed0,full,Deepfakes,1187,0.9989,0.0152,0.9798
ffpp_full_seed0,full,Face2Face,1171,0.9977,0.0316,0.971
ffpp_full_seed0,full,FaceSwap,1210,0.9981,0.0198,0.9777
ffpp_full_seed0,full,NeuralTextures,1178,0.9926,0.045,0.9525
ffpp_full_banddrop_sas_seed0,full_banddrop,Deepfakes,1187,0.9993,0.0135,0.9857
ffpp_full_banddrop_sas_seed0,full_banddrop,Face2Face,1171,0.9977,0.0231,0.9769
ffpp_full_banddrop_sas_seed0,full_banddrop,FaceSwap,1210,0.999,0.0173,0.9818
ffpp_full_banddrop_sas_seed0,full_banddrop,NeuralTextures,1178,0.9921,0.034,0.961
ffpp_frequency_only_seed0,frequency_only,Deepfakes,1187,0.8478,0.2409,0.7447
ffpp_frequency_only_seed0,frequency_only,Face2Face,1171,0.6669,0.3783,0.6191
ffpp_frequency_only_seed0,frequency_only,FaceSwap,1210,0.6543,0.3802,0.614
ffpp_frequency_only_seed0,frequency_only,NeuralTextures,1178,0.6153,0.416,0.5849
