run,compression,config,seed,manipulation,n_real_videos,n_fake_videos,auc
ffpp_c23_vid_baseline_spatial_seed0_test,c23,baseline_spatial,0,Deepfakes,30,30,0.9233
ffpp_c23_vid_baseline_spatial_seed0_test,c23,baseline_spatial,0,Face2Face,30,30,0.9389
ffpp_c23_vid_baseline_spatial_seed0_test,c23,baseline_spatial,0,FaceSwap,30,30,0.9167
ffpp_c23_vid_baseline_spatial_seed0_test,c23,baseline_spatial,0,NeuralTextures,30,30,0.9389
ffpp_c23_vid_baseline_spatial_seed1_test,c23,baseline_spatial,1,Deepfakes,30,30,0.9322
ffpp_c23_vid_baseline_spatial_seed1_test,c23,baseline_spatial,1,Face2Face,30,30,0.93
ffpp_c23_vid_baseline_spatial_seed1_test,c23,baseline_spatial,1,FaceSwap,30,30,0.9522
ffpp_c23_vid_baseline_spatial_seed1_test,c23,baseline_spatial,1,NeuralTextures,30,30,0.8522
ffpp_c23_vid_baseline_spatial_seed2_test,c23,baseline_spatial,2,Deepfakes,30,30,0.9511
ffpp_c23_vid_baseline_spatial_seed2_test,c23,baseline_spatial,2,Face2Face,30,30,0.9767
ffpp_c23_vid_baseline_spatial_seed2_test,c23,baseline_spatial,2,FaceSwap,30,30,0.9556
ffpp_c23_vid_baseline_spatial_seed2_test,c23,baseline_spatial,2,NeuralTextures,30,30,0.8844
ffpp_c23_vid_f3net_seed0_test,c23,f3net,0,Deepfakes,30,30,0.9533
ffpp_c23_vid_f3net_seed0_test,c23,f3net,0,Face2Face,30,30,0.96
ffpp_c23_vid_f3net_seed0_test,c23,f3net,0,FaceSwap,30,30,0.96
ffpp_c23_vid_f3net_seed0_test,c23,f3net,0,NeuralTextures,30,30,0.94
ffpp_c23_vid_f3net_seed1_test,c23,f3net,1,Deepfakes,30,30,0.9344
ffpp_c23_vid_f3net_seed1_test,c23,f3net,1,Face2Face,30,30,0.94
ffpp_c23_vid_f3net_seed1_test,c23,f3net,1,FaceSwap,30,30,0.9244
ffpp_c23_vid_f3net_seed1_test,c23,f3net,1,NeuralTextures,30,30,0.9189
ffpp_c23_vid_f3net_seed2_test,c23,f3net,2,Deepfakes,30,30,0.9633
ffpp_c23_vid_f3net_seed2_test,c23,f3net,2,Face2Face,30,30,0.9556
ffpp_c23_vid_f3net_seed2_test,c23,f3net,2,FaceSwap,30,30,0.9289
ffpp_c23_vid_f3net_seed2_test,c23,f3net,2,NeuralTextures,30,30,0.9033
ffpp_c23_vid_frequency_only_seed0_test,c23,frequency_only,0,Deepfakes,30,30,0.8789
ffpp_c23_vid_frequency_only_seed0_test,c23,frequency_only,0,Face2Face,30,30,0.7456
ffpp_c23_vid_frequency_only_seed0_test,c23,frequency_only,0,FaceSwap,30,30,0.8067
ffpp_c23_vid_frequency_only_seed0_test,c23,frequency_only,0,NeuralTextures,30,30,0.6878
ffpp_c23_vid_frequency_only_seed1_test,c23,frequency_only,1,Deepfakes,30,30,0.9133
ffpp_c23_vid_frequency_only_seed1_test,c23,frequency_only,1,Face2Face,30,30,0.6956
ffpp_c23_vid_frequency_only_seed1_test,c23,frequency_only,1,FaceSwap,30,30,0.5433
ffpp_c23_vid_frequency_only_seed1_test,c23,frequency_only,1,NeuralTextures,30,30,0.6611
ffpp_c23_vid_frequency_only_seed2_test,c23,frequency_only,2,Deepfakes,30,30,0.8667
ffpp_c23_vid_frequency_only_seed2_test,c23,frequency_only,2,Face2Face,30,30,0.6656
ffpp_c23_vid_frequency_only_seed2_test,c23,frequency_only,2,FaceSwap,30,30,0.6956
ffpp_c23_vid_frequency_only_seed2_test,c23,frequency_only,2,NeuralTextures,30,30,0.5722
ffpp_c23_vid_xception_seed0_test,c23,xception,0,Deepfakes,30,30,0.9622
ffpp_c23_vid_xception_seed0_test,c23,xception,0,Face2Face,30,30,0.9678
ffpp_c23_vid_xception_seed0_test,c23,xception,0,FaceSwap,30,30,0.9456
ffpp_c23_vid_xception_seed0_test,c23,xception,0,NeuralTextures,30,30,0.9622
ffpp_c23_vid_xception_seed1_test,c23,xception,1,Deepfakes,30,30,0.9411
ffpp_c23_vid_xception_seed1_test,c23,xception,1,Face2Face,30,30,0.9433
ffpp_c23_vid_xception_seed1_test,c23,xception,1,FaceSwap,30,30,0.93
ffpp_c23_vid_xception_seed1_test,c23,xception,1,NeuralTextures,30,30,0.9211
ffpp_c23_vid_xception_seed2_test,c23,xception,2,Deepfakes,30,30,0.9511
ffpp_c23_vid_xception_seed2_test,c23,xception,2,Face2Face,30,30,0.9522
ffpp_c23_vid_xception_seed2_test,c23,xception,2,FaceSwap,30,30,0.9033
ffpp_c23_vid_xception_seed2_test,c23,xception,2,NeuralTextures,30,30,0.9
ffpp_c40_vid_f3net_seed0_test,c40,f3net,0,Deepfakes,30,30,0.8956
ffpp_c40_vid_f3net_seed0_test,c40,f3net,0,Face2Face,30,30,0.8167
ffpp_c40_vid_f3net_seed0_test,c40,f3net,0,FaceSwap,30,30,0.8367
ffpp_c40_vid_f3net_seed0_test,c40,f3net,0,NeuralTextures,30,30,0.7422
ffpp_c40_vid_f3net_seed1_test,c40,f3net,1,Deepfakes,30,30,0.9456
ffpp_c40_vid_f3net_seed1_test,c40,f3net,1,Face2Face,30,30,0.8711
ffpp_c40_vid_f3net_seed1_test,c40,f3net,1,FaceSwap,30,30,0.9144
ffpp_c40_vid_f3net_seed1_test,c40,f3net,1,NeuralTextures,30,30,0.7644
ffpp_c40_vid_f3net_seed2_test,c40,f3net,2,Deepfakes,30,30,0.9022
ffpp_c40_vid_f3net_seed2_test,c40,f3net,2,Face2Face,30,30,0.8744
ffpp_c40_vid_f3net_seed2_test,c40,f3net,2,FaceSwap,30,30,0.8278
ffpp_c40_vid_f3net_seed2_test,c40,f3net,2,NeuralTextures,30,30,0.7467
ffpp_c40_vid_f3net_seed3_test,c40,f3net,3,Deepfakes,30,30,0.8956
ffpp_c40_vid_f3net_seed3_test,c40,f3net,3,Face2Face,30,30,0.8667
ffpp_c40_vid_f3net_seed3_test,c40,f3net,3,FaceSwap,30,30,0.8667
ffpp_c40_vid_f3net_seed3_test,c40,f3net,3,NeuralTextures,30,30,0.7222
ffpp_c40_vid_f3net_seed4_test,c40,f3net,4,Deepfakes,30,30,0.8633
ffpp_c40_vid_f3net_seed4_test,c40,f3net,4,Face2Face,30,30,0.81
ffpp_c40_vid_f3net_seed4_test,c40,f3net,4,FaceSwap,30,30,0.8367
ffpp_c40_vid_f3net_seed4_test,c40,f3net,4,NeuralTextures,30,30,0.7478
ffpp_c40_vid_xception_seed0_test,c40,xception,0,Deepfakes,30,30,0.9
ffpp_c40_vid_xception_seed0_test,c40,xception,0,Face2Face,30,30,0.8578
ffpp_c40_vid_xception_seed0_test,c40,xception,0,FaceSwap,30,30,0.8633
ffpp_c40_vid_xception_seed0_test,c40,xception,0,NeuralTextures,30,30,0.7911
ffpp_c40_vid_xception_seed1_test,c40,xception,1,Deepfakes,30,30,0.9322
ffpp_c40_vid_xception_seed1_test,c40,xception,1,Face2Face,30,30,0.9278
ffpp_c40_vid_xception_seed1_test,c40,xception,1,FaceSwap,30,30,0.8922
ffpp_c40_vid_xception_seed1_test,c40,xception,1,NeuralTextures,30,30,0.8267
