seed,unit,stratified,n_units,diff,ci_lo,ci_hi,halfwidth,se,excludes_0.014,n_items,auc_a,auc_b,n_boot_used,n_boot_skipped
0,video,False,150,-0.0303,-0.0738,0.0078,0.0408,0.021,True,150,0.8531,0.8228,2000,0
0,video,True,150,-0.0303,-0.0736,0.0078,0.0407,0.0209,True,150,0.8531,0.8228,2000,0
0,component,False,29,-0.0303,-0.0702,0.0039,0.03705,0.019,True,150,0.8531,0.8228,2000,0
0,component,True,29,-0.0303,-0.0702,0.0039,0.03705,0.019,True,150,0.8531,0.8228,2000,0
1,video,False,150,-0.0208,-0.0617,0.0202,0.04095,0.0213,False,150,0.8947,0.8739,2000,0
1,video,True,150,-0.0208,-0.0639,0.0192,0.04155,0.021,False,150,0.8947,0.8739,2000,0
1,component,False,28,-0.0208,-0.0633,0.0252,0.04425,0.0223,False,150,0.8947,0.8739,2000,0
1,component,True,28,-0.0208,-0.0633,0.0252,0.04425,0.0223,False,150,0.8947,0.8739,2000,0
2,video,False,150,0.0203,-0.0392,0.084,0.0616,0.0315,False,150,0.8175,0.8378,2000,0
2,video,True,150,0.0203,-0.0375,0.0836,0.06055,0.0312,False,150,0.8175,0.8378,2000,0
2,component,False,29,0.0203,-0.0398,0.0851,0.06245,0.0321,False,150,0.8175,0.8378,2000,0
2,component,True,29,0.0203,-0.0398,0.0851,0.06245,0.0321,False,150,0.8175,0.8378,2000,0
3,video,False,150,0.0306,-0.0272,0.0882,0.0577,0.0298,False,150,0.8072,0.8378,2000,0
3,video,True,150,0.0306,-0.0258,0.0897,0.05775,0.0292,False,150,0.8072,0.8378,2000,0
3,component,False,28,0.0306,-0.0206,0.0773,0.04895,0.0241,False,150,0.8072,0.8378,2000,0
3,component,True,28,0.0306,-0.0206,0.0773,0.04895,0.0241,False,150,0.8072,0.8378,2000,0
4,video,False,150,0.0164,-0.0299,0.0655,0.0477,0.0237,False,150,0.7981,0.8144,2000,0
4,video,True,150,0.0164,-0.0286,0.0647,0.04665,0.0237,False,150,0.7981,0.8144,2000,0
4,component,False,28,0.0164,-0.0311,0.0593,0.0452,0.0233,False,150,0.7981,0.8144,2000,0
4,component,True,28,0.0164,-0.0311,0.0593,0.0452,0.0233,False,150,0.7981,0.8144,2000,0
