source_file,aggregate,auc_a,auc_b,ci_hi,ci_lo,diff,equivalent_0.005,equivalent_0.01,equivalent_0.014,equivalent_0.02,excludes_0.005,excludes_0.01,excludes_0.014,excludes_0.02,n_boot_skipped,n_boot_used,n_items,n_units,se,unit
boot_video_ffpp_c23_vid_xception_seed0_test_vs_ffpp_c23_vid_f3net_seed0_test.csv,video,0.9594,0.9533,0.0099,-0.0259,-0.0061,False,False,False,False,False,True,True,True,0,2000,150,150,0.0089,video
boot_video_ffpp_c23_vid_xception_seed0_test_vs_ffpp_c23_vid_f3net_seed0_test.csv,video,0.9594,0.9533,0.0083,-0.0222,-0.0061,False,False,False,False,False,True,True,True,0,2000,150,29,0.0078,component
boot_video_ffpp_c23_vid_xception_seed1_test_vs_ffpp_c23_vid_f3net_seed1_test.csv,video,0.9339,0.9294,0.0249,-0.0392,-0.0044,False,False,False,False,False,False,False,False,0,2000,150,150,0.0161,video
boot_video_ffpp_c23_vid_xception_seed1_test_vs_ffpp_c23_vid_f3net_seed1_test.csv,video,0.9339,0.9294,0.0236,-0.0348,-0.0044,False,False,False,False,False,False,False,False,0,2000,150,28,0.0151,component
boot_video_ffpp_c23_vid_xception_seed2_test_vs_ffpp_c23_vid_f3net_seed2_test.csv,video,0.9267,0.9378,0.0407,-0.015,0.0111,False,False,False,False,False,False,False,False,0,2000,150,150,0.0142,video
boot_video_ffpp_c23_vid_xception_seed2_test_vs_ffpp_c23_vid_f3net_seed2_test.csv,video,0.9267,0.9378,0.0367,-0.0142,0.0111,False,False,False,False,False,False,False,False,0,2000,150,29,0.013,component
boot_video_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,video,0.8531,0.8228,0.0078,-0.0738,-0.0303,False,False,False,False,False,True,True,True,0,2000,150,150,0.021,video
boot_video_ffpp_c40_vid_xception_seed0_test_vs_ffpp_c40_vid_f3net_seed0_test.csv,video,0.8531,0.8228,0.0039,-0.0702,-0.0303,False,False,False,False,True,True,True,True,0,2000,150,29,0.019,component
boot_video_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,video,0.8947,0.8739,0.0202,-0.0617,-0.0208,False,False,False,False,False,False,False,False,0,2000,150,150,0.0213,video
boot_video_ffpp_c40_vid_xception_seed1_test_vs_ffpp_c40_vid_f3net_seed1_test.csv,video,0.8947,0.8739,0.0252,-0.0633,-0.0208,False,False,False,False,False,False,False,False,0,2000,150,28,0.0223,component
boot_video_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,video,0.8175,0.8378,0.084,-0.0392,0.0203,False,False,False,False,False,False,False,False,0,2000,150,150,0.0315,video
boot_video_ffpp_c40_vid_xception_seed2_test_vs_ffpp_c40_vid_f3net_seed2_test.csv,video,0.8175,0.8378,0.0851,-0.0398,0.0203,False,False,False,False,False,False,False,False,0,2000,150,29,0.0321,component
boot_video_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,video,0.8072,0.8378,0.0882,-0.0272,0.0306,False,False,False,False,False,False,False,False,0,2000,150,150,0.0298,video
boot_video_ffpp_c40_vid_xception_seed3_test_vs_ffpp_c40_vid_f3net_seed3_test.csv,video,0.8072,0.8378,0.0773,-0.0206,0.0306,False,False,False,False,False,False,False,False,0,2000,150,28,0.0241,component
boot_video_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,video,0.7981,0.8144,0.0655,-0.0299,0.0164,False,False,False,False,False,False,False,False,0,2000,150,150,0.0237,video
boot_video_ffpp_c40_vid_xception_seed4_test_vs_ffpp_c40_vid_f3net_seed4_test.csv,video,0.7981,0.8144,0.0593,-0.0311,0.0164,False,False,False,False,False,False,False,False,0,2000,150,28,0.0233,component
