,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,eer,eer
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
experiment,,,,,,,,,,,,
baseline_spatial,0.972,0.002603632078462731,0.9885100000000001,0.005630959065736461,0.97647,0.006573180356570242,0.98243,0.0016127926091100242,0.9948666666666667,0.002093951607209019,0.03217,0.004438783617163603
xception,0.9802200000000001,0.0010179882121124923,0.9907966666666667,0.0016371418183325566,0.9844733333333333,0.0026979683714478913,0.9876233333333334,0.0007245228314782875,0.99765,0.0005237365750069764,0.024416666666666666,0.005303181435075866
efficientnet_b0,0.9697766666666666,0.003974875260097354,0.98914,0.002242476309796836,0.9729633333333334,0.0030070306505477324,0.9809833333333332,0.0026049440173127546,0.9932633333333333,0.002071625770580516,0.035223333333333336,0.005396705785322497
f3net,0.9806666666666667,0.0029089918070240917,0.9897066666666667,0.0037519372773719474,0.9861666666666666,0.005584374032363277,0.9879199999999999,0.0018011940484023224,0.99709,0.0012673989111562202,0.024716666666666665,0.0037611744619644185
frequency_only,0.6241133333333333,0.028098747896184467,0.8818999999999999,0.0023948068815668492,0.6129466666666666,0.04340533415760487,0.7226633333333333,0.031236549638737846,0.7006966666666666,0.009534318713643544,0.35914333333333337,0.006964203711360948
no_mask,0.9744466666666667,0.0030248360837131943,0.9890866666666667,0.003970394606753005,0.9789666666666667,0.006959398920404936,0.98398,0.0018636523280912412,0.99539,0.0022002727103702224,0.031566666666666666,0.005199387784473603
no_fusion_concat,0.972,0.0023364288989823757,0.9876866666666667,0.005390309205725867,0.9772933333333333,0.004874693152736232,0.9824466666666667,0.0014213491243650798,0.9944466666666667,0.002734599300324181,0.03328333333333333,0.005965151576727394
full,0.9732233333333333,0.004297631130440717,0.9866233333333333,0.004853950281300174,0.9799366666666667,0.006943286925753045,0.98325,0.0026160466356699597,0.99469,0.002484411399104419,0.03303,0.005312824107760392
full_banddrop,0.9765566666666667,0.0025881524942192387,0.98788,0.0037699999999999817,0.9828333333333333,0.004167221296419603,0.98534,0.0016115830726338963,0.9953666666666666,0.0024789581144773723,0.028846666666666663,0.0035303021589282303
full_banddrop+sas,0.9734466666666667,0.0013489378537699288,0.9916866666666667,0.003197144559342513,0.97507,0.003378623980261765,0.9833,0.0007692203845452996,0.9948566666666667,0.002141315794863865,0.02696,0.004844914859933041
