run,config,sas,dataset,seed,image_size,epochs,accuracy,precision,recall,f1,roc_auc,eer
ffpp_baseline_spatial_seed0,baseline_spatial,0,ffpp,0,128,12,0.97333,0.99408,0.9727,0.98328,0.99684,0.02719
ffpp_full_seed0,full,0,ffpp,0,128,12,0.972,0.99199,0.97312,0.98246,0.99686,0.02908
ffpp_full_banddrop_seed0,full_banddrop,0,ffpp,0,128,12,0.97867,0.99165,0.9818,0.9867,0.99768,0.02529
ffpp_full_banddrop_sas_seed0,full_banddrop,1,ffpp,0,128,12,0.97367,0.99534,0.97188,0.98347,0.99704,0.02254
ffpp_f3net_seed0,f3net,0,ffpp,0,128,12,0.982,0.99332,0.98428,0.98878,0.99831,0.02044
ffpp_xception_seed0,xception,0,ffpp,0,128,12,0.98,0.99248,0.98263,0.98753,0.99811,0.01855
ffpp_no_mask_seed0,no_mask,0,ffpp,0,128,12,0.974,0.99284,0.97477,0.98372,0.99727,0.02739
ffpp_no_fusion_concat_seed0,no_fusion_concat,0,ffpp,0,128,12,0.97367,0.99367,0.97353,0.9835,0.99692,0.02698
ffpp_frequency_only_seed0,frequency_only,0,ffpp,0,128,12,0.64067,0.88111,0.64061,0.74186,0.69618,0.35863
ffpp_efficientnet_b0_seed0,efficientnet_b0,0,ffpp,0,128,12,0.97433,0.9916,0.97643,0.98395,0.99564,0.02908
ffpp_baseline_spatial_seed1,baseline_spatial,0,ffpp,1,128,12,0.969,0.98863,0.97265,0.98057,0.99267,0.03571
ffpp_full_seed1,full,0,ffpp,1,128,12,0.96967,0.98254,0.97969,0.98112,0.99198,0.03907
ffpp_full_banddrop_seed1,full_banddrop,0,ffpp,1,128,12,0.97367,0.98788,0.97928,0.98356,0.99275,0.03235
ffpp_full_banddrop_sas_seed1,full_banddrop,1,ffpp,1,128,12,0.972,0.99032,0.97472,0.98246,0.99276,0.03214
ffpp_f3net_seed1,f3net,0,ffpp,1,128,12,0.97733,0.98997,0.98177,0.98585,0.99578,0.02751
ffpp_xception_seed1,xception,0,ffpp,1,128,12,0.98133,0.98921,0.98757,0.98839,0.99708,0.02583
ffpp_no_mask_seed1,no_mask,0,ffpp,1,128,12,0.97167,0.98949,0.97513,0.98226,0.99297,0.03739
ffpp_no_fusion_concat_seed1,no_fusion_concat,0,ffpp,1,128,12,0.96933,0.98618,0.97555,0.98083,0.99151,0.03884
ffpp_frequency_only_seed1,frequency_only,0,ffpp,1,128,12,0.64,0.88459,0.63531,0.73951,0.71165,0.35245
ffpp_efficientnet_b0_seed1,efficientnet_b0,0,ffpp,1,128,12,0.968,0.98861,0.9714,0.97993,0.99184,0.03739
ffpp_baseline_spatial_seed2,baseline_spatial,0,ffpp,2,128,12,0.97367,0.98282,0.98406,0.98344,0.99509,0.03361
ffpp_full_seed2,full,0,ffpp,2,128,12,0.978,0.98534,0.987,0.98617,0.99523,0.03094
ffpp_full_banddrop_seed2,full_banddrop,0,ffpp,2,128,12,0.97733,0.98411,0.98742,0.98576,0.99567,0.0289
ffpp_full_banddrop_sas_seed2,full_banddrop,1,ffpp,2,128,12,0.97467,0.9894,0.97861,0.98397,0.99477,0.0262
ffpp_f3net_seed2,f3net,0,ffpp,2,128,12,0.98267,0.98583,0.99245,0.98913,0.99718,0.0262
ffpp_xception_seed2,xception,0,ffpp,2,128,12,0.97933,0.9907,0.98322,0.98695,0.99776,0.02887
ffpp_no_mask_seed2,no_mask,0,ffpp,2,128,12,0.97767,0.98493,0.987,0.98596,0.99593,0.02992
ffpp_no_fusion_concat_seed2,no_fusion_concat,0,ffpp,2,128,12,0.973,0.98321,0.9828,0.98301,0.99491,0.03403
ffpp_frequency_only_seed2,frequency_only,0,ffpp,2,128,12,0.59167,0.88,0.56292,0.68662,0.69426,0.36635
ffpp_efficientnet_b0_seed2,efficientnet_b0,0,ffpp,2,128,12,0.967,0.98721,0.97106,0.97907,0.99231,0.0392
