run,config,sas,dataset,seed,split_seed,image_size,epochs,accuracy,precision,recall,f1,roc_auc,eer
ffpp_c40_vid_xception_seed0,xception,0,ffpp_c40_vid,0,0,128,15,0.816,0.86842,0.9075,0.88753,0.79705,0.27646
ffpp_c40_vid_xception_fad_seed0,xception_fad,0,ffpp_c40_vid,0,0,128,15,0.80067,0.88603,0.86167,0.87368,0.81104,0.26708
ffpp_c40_vid_xception_seed1_split0,xception,0,ffpp_c40_vid,1,0,128,15,0.81933,0.8722,0.90708,0.8893,0.80417,0.275
ffpp_c40_vid_xception_fad_seed1_split0,xception_fad,0,ffpp_c40_vid,1,0,128,15,0.815,0.85143,0.93125,0.88955,0.79149,0.28104
ffpp_c40_vid_xception_seed2_split0,xception,0,ffpp_c40_vid,2,0,128,15,0.82467,0.85573,0.93917,0.89551,0.79447,0.27625
ffpp_c40_vid_xception_fad_seed2_split0,xception_fad,0,ffpp_c40_vid,2,0,128,15,0.81367,0.85472,0.92417,0.88809,0.77437,0.30479
ffpp_c40_vid_xception_seed3_split0,xception,0,ffpp_c40_vid,3,0,128,15,0.818,0.85194,0.935,0.89154,0.78979,0.27667
ffpp_c40_vid_xception_fad_seed3_split0,xception_fad,0,ffpp_c40_vid,3,0,128,15,0.81,0.85355,0.92042,0.88573,0.79424,0.27187
ffpp_c40_vid_xception_seed4_split0,xception,0,ffpp_c40_vid,4,0,128,15,0.76267,0.89038,0.80208,0.84393,0.79834,0.27146
ffpp_c40_vid_xception_fad_seed4_split0,xception_fad,0,ffpp_c40_vid,4,0,128,15,0.80267,0.8616,0.8975,0.87918,0.78317,0.28437
