run,perturbation,severity,roc_auc,accuracy,eer
ffpp_baseline_spatial_seed0,jpeg,0,0.9968350202803147,0.9733333333333334,0.027186564682407703
ffpp_baseline_spatial_seed0,jpeg,1,0.9758426918387011,0.6826666666666666,0.07942791605910995
ffpp_baseline_spatial_seed0,jpeg,2,0.9592304565699976,0.675,0.1062009158118237
ffpp_baseline_spatial_seed0,jpeg,3,0.9115134486767342,0.513,0.16140117503602702
ffpp_baseline_spatial_seed0,jpeg,4,0.8547939423396691,0.37366666666666665,0.23219112668730227
ffpp_baseline_spatial_seed0,blur,0,0.9968350202803147,0.9733333333333334,0.027186564682407703
ffpp_baseline_spatial_seed0,blur,1,0.8219688248787018,0.8076666666666666,0.2661226369241002
ffpp_baseline_spatial_seed0,blur,2,0.5726463749825905,0.806,0.45068557980097723
ffpp_baseline_spatial_seed0,blur,3,0.5373157077929277,0.806,0.4726066528527453
ffpp_baseline_spatial_seed0,blur,4,0.5258616646627954,0.806,0.4894690167387208
ffpp_baseline_spatial_seed0,noise,0,0.9968350202803147,0.9733333333333334,0.027186564682407703
ffpp_baseline_spatial_seed0,noise,1,0.6907230706698615,0.20733333333333334,0.3615538103399759
ffpp_baseline_spatial_seed0,noise,2,0.6407897242616232,0.221,0.40560273890835913
ffpp_baseline_spatial_seed0,noise,3,0.5933029483910761,0.19666666666666666,0.4355094523035993
ffpp_baseline_spatial_seed0,noise,4,0.540795480062191,0.194,0.4761859080947874
ffpp_baseline_spatial_seed0,resize,0,0.9968350202803147,0.9733333333333334,0.027186564682407703
ffpp_baseline_spatial_seed0,resize,1,0.8658262487244862,0.807,0.2145016329419389
ffpp_baseline_spatial_seed0,resize,2,0.6796438651693057,0.806,0.3655786071815337
ffpp_baseline_spatial_seed0,resize,3,0.6402500291342992,0.806,0.4003372472777195
ffpp_baseline_spatial_seed0,resize,4,0.5839760643967495,0.806,0.4517514687950338
ffpp_baseline_spatial_seed0,contrast,0,0.9968350202803147,0.9733333333333334,0.027186564682407703
ffpp_baseline_spatial_seed0,contrast,1,0.992285806053681,0.958,0.03561774662539547
ffpp_baseline_spatial_seed0,contrast,2,0.9760942416412985,0.908,0.07416242442847035
ffpp_baseline_spatial_seed0,contrast,3,0.9280645729764453,0.8546666666666667,0.15802870225883198
ffpp_baseline_spatial_seed0,contrast,4,0.8413033406382259,0.816,0.25242596335047285
ffpp_xception_seed0,jpeg,0,0.9981069811465555,0.98,0.01854860027457298
ffpp_xception_seed0,jpeg,1,0.9753353286775303,0.6766666666666666,0.07522831342252692
ffpp_xception_seed0,jpeg,2,0.9563717422879379,0.643,0.10451467942322615
ffpp_xception_seed0,jpeg,3,0.9041879489169147,0.487,0.17678408499825193
ffpp_xception_seed0,jpeg,4,0.8393442366671499,0.37766666666666665,0.24440834633717906
ffpp_xception_seed0,blur,0,0.9981069811465555,0.98,0.01854860027457298
ffpp_xception_seed0,blur,1,0.8339725114334361,0.8063333333333333,0.2492602730381247
ffpp_xception_seed0,blur,2,0.506408835224931,0.806,0.49115525312731834
ffpp_xception_seed0,blur,3,0.49710291371415416,0.806,0.5063313806246962
ffpp_xception_seed0,blur,4,0.49274058535781184,0.806,0.49979321753515304
ffpp_xception_seed0,noise,0,0.9981069811465555,0.98,0.01854860027457298
ffpp_xception_seed0,noise,1,0.7149692029139982,0.19866666666666666,0.3331265508684863
ffpp_xception_seed0,noise,2,0.6150101330513702,0.194,0.40897521168555423
ffpp_xception_seed0,noise,3,0.5735697901477749,0.194,0.4517514687950338
ffpp_xception_seed0,noise,4,0.5246735537307535,0.194,0.48967579920356774
ffpp_xception_seed0,resize,0,0.9981069811465555,0.98,0.01854860027457298
ffpp_xception_seed0,resize,1,0.8575229734607852,0.8063333333333333,0.22671885259181568
ffpp_xception_seed0,resize,2,0.601210778837982,0.806,0.4252172281769887
ffpp_xception_seed0,resize,3,0.5593881370818519,0.806,0.45808284941973
ffpp_xception_seed0,resize,4,0.5186477279510203,0.806,0.48103783479573303
ffpp_xception_seed0,contrast,0,0.9981069811465555,0.98,0.01854860027457298
ffpp_xception_seed0,contrast,1,0.9954770777018866,0.9696666666666667,0.03245205631304732
ffpp_xception_seed0,contrast,2,0.9833067571677482,0.907,0.06091129245435861
ffpp_xception_seed0,contrast,3,0.9367295399054627,0.8473333333333334,0.13906653705456498
ffpp_xception_seed0,contrast,4,0.8344546485550809,0.8213333333333334,0.25115329189156926
ffpp_f3net_seed0,jpeg,0,0.998310210648089,0.982,0.020441619128017542
ffpp_f3net_seed0,jpeg,1,0.9821904160946395,0.665,0.07226940557502577
ffpp_f3net_seed0,jpeg,2,0.9626945958006816,0.633,0.10324200796432255
ffpp_f3net_seed0,jpeg,3,0.9185973469312345,0.4676666666666667,0.16246706403008365
ffpp_f3net_seed0,jpeg,4,0.8677636796193497,0.33366666666666667,0.2157423277310208
ffpp_f3net_seed0,blur,0,0.998310210648089,0.982,0.020441619128017542
ffpp_f3net_seed0,blur,1,0.8276691992189165,0.8063333333333333,0.25769145498111246
ffpp_f3net_seed0,blur,2,0.5275635340899725,0.806,0.47387932431164886
ffpp_f3net_seed0,blur,3,0.4977516848152033,0.806,0.4966275272228049
ffpp_f3net_seed0,blur,4,0.4789561535903405,0.806,0.5067129688845685
ffpp_f3net_seed0,noise,0,0.998310210648089,0.982,0.020441619128017542
ffpp_f3net_seed0,noise,1,0.7391250898899719,0.19866666666666666,0.32617482284924915
ffpp_f3net_seed0,noise,2,0.6429648484021613,0.194,0.3967579920356774
ffpp_f3net_seed0,noise,3,0.5912944582299422,0.194,0.43953424914515704
ffpp_f3net_seed0,noise,4,0.5271872752750704,0.194,0.48103783479573303
ffpp_f3net_seed0,resize,0,0.998310210648089,0.982,0.020441619128017542
ffpp_f3net_seed0,resize,1,0.8470786825043558,0.8066666666666666,0.24654012432529226
ffpp_f3net_seed0,resize,2,0.6455890671055288,0.806,0.4091819941504012
ffpp_f3net_seed0,resize,3,0.616504864717369,0.806,0.4311030672021693
ffpp_f3net_seed0,resize,4,0.5813077889482945,0.806,0.4483789960178387
ffpp_f3net_seed0,contrast,0,0.998310210648089,0.982,0.020441619128017542
ffpp_f3net_seed0,contrast,1,0.9956547258675627,0.9633333333333334,0.030972602389296777
ffpp_f3net_seed0,contrast,2,0.9810520466489872,0.8896666666666667,0.06153163984889959
ffpp_f3net_seed0,contrast,3,0.9268999116022727,0.8276666666666667,0.16350097635431854
ffpp_f3net_seed0,contrast,4,0.8327733863151223,0.8096666666666666,0.2513600743564162
ffpp_full_seed0,jpeg,0,0.9968563380601957,0.972,0.029079583535852268
ffpp_full_seed0,jpeg,1,0.9638798643620725,0.6716666666666666,0.10874625872963087
ffpp_full_seed0,jpeg,2,0.9468696972022546,0.6606666666666666,0.12643575247499422
ffpp_full_seed0,jpeg,3,0.8882770686063004,0.5326666666666666,0.2012185242980055
ffpp_full_seed0,jpeg,4,0.8280607357760666,0.435,0.25242596335047285
ffpp_full_seed0,blur,0,0.9968563380601957,0.972,0.029079583535852268
ffpp_full_seed0,blur,1,0.8098809330934372,0.8063333333333333,0.2680156557775447
ffpp_full_seed0,blur,2,0.5838257740485875,0.806,0.4313098496670163
ffpp_full_seed0,blur,3,0.536581665572354,0.806,0.46734116122210567
ffpp_full_seed0,blur,4,0.5131644396692617,0.806,0.4907416881976243
ffpp_full_seed0,noise,0,0.9968563380601957,0.972,0.029079583535852268
ffpp_full_seed0,noise,1,0.6776524292320767,0.2,0.3784161742259514
