run,perturbation,score
ffpp_baseline_spatial_seed0,blur,0.5275312904987233
ffpp_baseline_spatial_seed0,contrast,0.8439745028235941
ffpp_baseline_spatial_seed0,jpeg,0.8575079375715523
ffpp_baseline_spatial_seed0,noise,0.5425125211894309
ffpp_baseline_spatial_seed0,resize,0.585830205115118
ffpp_efficientnet_b0_seed0,blur,0.4791365720386886
ffpp_efficientnet_b0_seed0,contrast,0.6856846872823195
ffpp_efficientnet_b0_seed0,jpeg,0.8199361089858513
ffpp_efficientnet_b0_seed0,noise,0.5126575864155942
ffpp_efficientnet_b0_seed0,resize,0.6036523221157689
ffpp_f3net_seed0,blur,0.47976685851926615
ffpp_f3net_seed0,contrast,0.8341829798319877
ffpp_f3net_seed0,jpeg,0.8692324994412406
ffpp_f3net_seed0,noise,0.5280796185915275
ffpp_f3net_seed0,resize,0.5822917393291186
ffpp_frequency_only_seed0,blur,0.7364544238045709
ffpp_frequency_only_seed0,contrast,0.8891234251733419
ffpp_frequency_only_seed0,jpeg,0.9387043730242897
ffpp_frequency_only_seed0,noise,0.7640936970188147
ffpp_frequency_only_seed0,resize,0.7805730465412759
ffpp_full_banddrop_sas_seed0,blur,0.5131407524395702
ffpp_full_banddrop_sas_seed0,contrast,0.8629507467664826
ffpp_full_banddrop_sas_seed0,jpeg,0.8142049552567286
ffpp_full_banddrop_sas_seed0,noise,0.508811103287255
ffpp_full_banddrop_sas_seed0,resize,0.6285171717805229
ffpp_full_seed0,blur,0.5147827425843924
ffpp_full_seed0,contrast,0.8500126884375545
ffpp_full_seed0,jpeg,0.8306720880035813
ffpp_full_seed0,noise,0.5415742359136958
ffpp_full_seed0,resize,0.5890942166386761
ffpp_xception_seed0,blur,0.49367512167061084
ffpp_xception_seed0,contrast,0.8360372828937813
ffpp_xception_seed0,jpeg,0.840936144643503
ffpp_xception_seed0,noise,0.5256686544042055
ffpp_xception_seed0,resize,0.5196313999880394
