run,perturbation,severity,roc_auc,accuracy,eer
ffpp_baseline_spatial_seed1,jpeg,0,0.9926738400952817,0.969,0.035707704787596425
ffpp_baseline_spatial_seed1,jpeg,1,0.963984832300338,0.6503333333333333,0.09892716270683145
ffpp_baseline_spatial_seed1,jpeg,2,0.94495178374379,0.6526666666666666,0.13212539121213812
ffpp_baseline_spatial_seed1,jpeg,3,0.8959935217458528,0.5033333333333333,0.19345700567129642
ffpp_baseline_spatial_seed1,jpeg,4,0.8268620215174618,0.38466666666666666,0.24656972348105904
ffpp_xception_seed1,jpeg,0,0.9970806908349223,0.9813333333333333,0.02583112061229952
ffpp_xception_seed1,jpeg,1,0.9685851269846536,0.677,0.09851274082535612
ffpp_xception_seed1,jpeg,2,0.9455264675794303,0.6696666666666666,0.1277051264763338
ffpp_xception_seed1,jpeg,3,0.9031078817111458,0.502,0.17202320480136346
ffpp_xception_seed1,jpeg,4,0.8421977491314437,0.3606666666666667,0.24426745813950695
ffpp_f3net_seed1,jpeg,0,0.9957802392068515,0.9773333333333334,0.027511753131638606
ffpp_f3net_seed1,jpeg,1,0.9674534093083249,0.681,0.09913437364756912
ffpp_f3net_seed1,jpeg,2,0.9476889449609618,0.6856666666666666,0.12015375263602673
ffpp_f3net_seed1,jpeg,3,0.9053656690654187,0.5436666666666666,0.17939031269437056
ffpp_f3net_seed1,jpeg,4,0.845232842263407,0.433,0.23692329523993755
ffpp_full_seed1,jpeg,0,0.9919777242943708,0.9696666666666667,0.039068969826274655
ffpp_full_seed1,jpeg,1,0.9650713659895894,0.6926666666666667,0.09703931924675471
ffpp_full_seed1,jpeg,2,0.9491193005518802,0.689,0.12643891583847006
ffpp_full_seed1,jpeg,3,0.8963782916358086,0.548,0.18567547589681394
ffpp_full_seed1,jpeg,4,0.8310136533300952,0.43333333333333335,0.24783593411892285
